gen,mejorfitness,mediapoblacion
232,0.9567,0.6604
233,0.9567,0.5811
234,0.9567,0.6953
235,0.9567,0.7016
236,0.9567,0.6276
237,0.9567,0.7502
238,0.9567,0.6314
239,0.9567,0.4773
240,0.9567,0.4029
241,0.9567,0.5541
242,0.9567,0.5941
243,0.9567,0.5057
244,0.9567,0.4669
245,0.9567,0.7192
246,0.9567,0.7050
247,0.9567,0.6878
248,0.9567,0.7660
249,0.9567,0.5948
250,0.9567,0.5357
251,0.9567,0.5462
252,0.9567,0.7250
253,0.9567,0.6455
254,0.9567,0.6696
255,0.9567,0.5214
256,0.9567,0.6561
257,0.9567,0.6493
258,0.9567,0.7263
259,0.9567,0.6257
260,0.9567,0.5806
261,0.9567,0.6394
262,0.9567,0.4474
263,0.9567,0.4843
264,0.9567,0.5431
265,0.9567,0.6029
266,0.9567,0.5984
267,0.9567,0.5416
268,0.9567,0.6905
269,0.9567,0.5062
270,0.9567,0.5196
271,0.9567,0.5939
272,0.9567,0.5804
273,0.9567,0.5007
274,0.9567,0.4664
275,0.9567,0.6342
276,0.9567,0.6032
277,0.9567,0.5520
278,0.9567,0.6118
279,0.9567,0.6121
280,0.9567,0.5364
281,0.9567,0.5194
282,0.9567,0.4704
283,0.9567,0.4909
284,0.9567,0.6075
285,0.9567,0.6298
286,0.9567,0.5549
287,0.9567,0.6815
288,0.9567,0.5908
289,0.9567,0.6047
290,0.9567,0.6099
291,0.9567,0.4305
292,0.9567,0.6966
293,0.9567,0.7360
294,0.9567,0.7469
295,0.9567,0.6731
296,0.9567,0.6248
297,0.9567,0.6449
298,0.9567,0.6141
299,0.9567,0.4615
300,0.9567,0.5444
301,0.9567,0.6079
302,0.9567,0.6473
303,0.9567,0.4433
304,0.9567,0.6041
305,0.9567,0.5163
306,0.9567,0.5190
307,0.9567,0.4506
308,0.9567,0.7283
309,0.9567,0.5264
310,0.9567,0.5954
311,0.9567,0.6339
312,0.9567,0.5239
313,0.9567,0.4986
314,0.9567,0.7000
315,0.9567,0.5865
316,0.9567,0.6032
317,0.9567,0.6232
318,0.9567,0.6553
319,0.9567,0.4875
320,0.9567,0.6242
321,0.9567,0.5773
322,0.9567,0.7971
323,0.9567,0.6326
324,0.9567,0.5885
325,0.9567,0.6943
326,0.9567,0.6491
327,0.9567,0.7485
328,0.9567,0.6102
329,0.9567,0.5131
330,0.9567,0.5021
331,0.9567,0.5880
332,0.9617,0.6232
333,0.9617,0.6553
334,0.9617,0.6362
335,0.9617,0.6570
336,0.9617,0.5108
337,0.9617,0.6074
338,0.9617,0.5896
339,0.9617,0.6046
340,0.9617,0.6112
341,0.9617,0.5507
342,0.9617,0.6568
343,0.9617,0.6044
344,0.9617,0.6520
345,0.9617,0.5873
346,0.9617,0.4664
347,0.9617,0.5039
348,0.9617,0.4007
349,0.9617,0.7892
350,0.9617,0.7053
351,0.9617,0.7046
352,0.9617,0.6307
353,0.9617,0.5654
354,0.9617,0.5666
355,0.9617,0.6795
356,0.9617,0.7838
357,0.9617,0.5459
358,0.9617,0.6114
359,0.9617,0.4065
360,0.9617,0.5341
361,0.9617,0.5421
362,0.9617,0.5510
363,0.9617,0.4106
364,0.9617,0.6819
365,0.9617,0.6076
366,0.9617,0.5409
367,0.9617,0.4355
368,0.9617,0.4109
369,0.9617,0.4334
370,0.9617,0.3993
371,0.9617,0.5981
372,0.9617,0.6006
373,0.9617,0.5155
374,0.9617,0.5771
375,0.9617,0.4742
376,0.9617,0.4577
377,0.9617,0.5420
378,0.9617,0.5191
379,0.9617,0.5421
380,0.9617,0.5296
381,0.9617,0.5085
382,0.9617,0.6703
383,0.9617,0.5539
384,0.9617,0.5738
385,0.9617,0.7256
386,0.9617,0.5416
387,0.9617,0.6021
388,0.9617,0.6681
389,0.9617,0.6362
390,0.9617,0.5112
391,0.9617,0.4556
392,0.9617,0.4525
393,0.9617,0.3859
394,0.9617,0.5867
395,0.9617,0.5838
396,0.9617,0.3760
397,0.9617,0.3921
398,0.9617,0.4362
399,0.9617,0.4129
400,0.9617,0.6280
401,0.9617,0.5124
402,0.9617,0.5463
403,0.9617,0.6244
404,0.9617,0.5552
405,0.9617,0.4698
406,0.9617,0.5855
407,0.9617,0.6487
408,0.9617,0.6814
409,0.9617,0.5407
410,0.9617,0.3937
411,0.9617,0.4451
412,0.9617,0.5638
413,0.9617,0.6598
414,0.9617,0.4925
415,0.9617,0.2981
416,0.9617,0.3203
417,0.9617,0.3857
418,0.9617,0.4753
419,0.9617,0.4944
420,0.9617,0.5539
421,0.9617,0.5921
422,0.9617,0.3838
423,0.9617,0.5350
424,0.9617,0.5541
425,0.9617,0.5604
426,0.9617,0.5807
427,0.9617,0.5455
428,0.9617,0.5224
429,0.9617,0.5365
430,0.9617,0.4569
431,0.9617,0.6406
432,0.9617,0.6580
433,0.9617,0.5047
434,0.9617,0.5061
435,0.9617,0.6727
436,0.9617,0.8615
437,0.9617,0.6683
438,0.9617,0.5766
439,0.9617,0.4378
440,0.9617,0.4316
441,0.9617,0.4822
442,0.9667,0.5074
443,0.9667,0.4587
444,0.9667,0.7050
445,0.9667,0.4744
446,0.9667,0.6403
447,0.9667,0.4988
448,0.9667,0.5232
449,0.9667,0.5054
450,0.9667,0.3539
451,0.9667,0.4336
452,0.9667,0.4224
453,0.9667,0.4762
454,0.9667,0.5481
455,0.9667,0.3939
456,0.9667,0.5871
457,0.9667,0.4229
458,0.9667,0.5650
459,0.9667,0.6270
460,0.9667,0.4618
461,0.9667,0.3697
462,0.9667,0.4729
463,0.9667,0.6353
464,0.9667,0.5452
465,0.9667,0.4366
466,0.9667,0.6191
467,0.9667,0.4949
468,0.9667,0.5054
469,0.9667,0.4801
470,0.9667,0.6271
471,0.9667,0.5676
472,0.9667,0.6280
473,0.9667,0.5938
474,0.9667,0.5686
475,0.9667,0.5151
476,0.9667,0.5406
477,0.9667,0.4839
478,0.9667,0.5700
479,0.9667,0.4301
480,0.9667,0.5034
481,0.9667,0.4254
482,0.9667,0.4850
483,0.9667,0.6525
484,0.9667,0.4621
485,0.9667,0.7223
486,0.9667,0.5052
487,0.9667,0.6129
488,0.9667,0.4952
489,0.9667,0.5289
490,0.9667,0.4102
491,0.9667,0.5322
492,0.9667,0.5928
493,0.9667,0.6525
494,0.9667,0.5939
495,0.9667,0.5603
496,0.9667,0.5726
497,0.9667,0.3294
498,0.9667,0.6198
499,0.9667,0.6151
500,0.9667,0.5815
501,0.9667,0.5416
502,0.9667,0.5789
503,0.9667,0.4854
504,0.9667,0.7012
505,0.9667,0.5759
506,0.9667,0.4768
507,0.9667,0.2986
508,0.9667,0.4801
509,0.9667,0.4896
510,0.9667,0.4475
511,0.9667,0.6662
512,0.9667,0.7027
513,0.9667,0.6222
514,0.9667,0.5727
515,0.9667,0.5789
516,0.9667,0.6644
517,0.9667,0.6341
518,0.9667,0.3765
519,0.9667,0.4320
520,0.9667,0.6090
521,0.9667,0.4363
522,0.9667,0.5424
523,0.9667,0.2870
524,0.9667,0.4456
525,0.9667,0.5211
526,0.9667,0.4747
527,0.9667,0.5001
528,0.9667,0.5286
529,0.9667,0.4876
530,0.9667,0.4792
531,0.9667,0.6724
532,0.9667,0.6131
533,0.9667,0.7403
534,0.9667,0.3979
535,0.9667,0.5166
536,0.9667,0.6568
537,0.9667,0.5985
538,0.9667,0.6440
539,0.9667,0.5539
540,0.9667,0.4932
541,0.9667,0.4986
542,0.9667,0.5821
543,0.9667,0.3953
544,0.9667,0.4841
545,0.9667,0.5738
546,0.9667,0.4553
547,0.9667,0.4819
548,0.9667,0.4307
549,0.9667,0.4088
550,0.9667,0.6078
551,0.9667,0.6994
552,0.9667,0.5236
553,0.9667,0.4655
554,0.9667,0.5435
555,0.9667,0.6032
556,0.9667,0.5537
557,0.9667,0.3920
558,0.9667,0.4403
559,0.9667,0.6937
560,0.9667,0.5753
561,0.9667,0.5710
562,0.9667,0.4527
563,0.9667,0.5718
564,0.9667,0.6613
565,0.9667,0.5146
566,0.9667,0.5338
567,0.9667,0.5582
568,0.9667,0.5391
569,0.9667,0.4770
570,0.9667,0.2948
571,0.9667,0.4048
572,0.9667,0.5822
573,0.9667,0.4800
574,0.9667,0.5273
575,0.9667,0.5911
576,0.9667,0.4163
577,0.9667,0.3303
578,0.9667,0.5858
579,0.9667,0.6220
580,0.9667,0.5533
581,0.9667,0.7336
582,0.9667,0.5652
583,0.9667,0.3338
584,0.9667,0.4134
585,0.9667,0.4957
586,0.9667,0.5177
587,0.9667,0.4532
588,0.9667,0.6904
589,0.9667,0.6362
590,0.9667,0.7947
591,0.9667,0.7152
592,0.9667,0.5722
593,0.9667,0.5938
594,0.9667,0.4569
595,0.9667,0.5097
596,0.9667,0.4844
597,0.9667,0.4692
598,0.9667,0.7051
599,0.9667,0.7025
600,0.9667,0.6488
601,0.9667,0.4408
602,0.9667,0.4223
603,0.9667,0.5569
604,0.9667,0.5887
605,0.9667,0.4201
606,0.9667,0.4865
607,0.9667,0.6764
608,0.9667,0.5819
609,0.9667,0.3690
610,0.9667,0.5424
611,0.9667,0.4619
612,0.9667,0.5456
613,0.9667,0.5254
614,0.9667,0.6601
615,0.9667,0.5377
616,0.9667,0.7142
617,0.9667,0.4572
618,0.9667,0.5286
619,0.9667,0.5773
620,0.9667,0.6588
621,0.9667,0.3762
622,0.9667,0.4144
623,0.9667,0.3502
624,0.9667,0.6404
625,0.9667,0.4567
626,0.9667,0.5960
627,0.9667,0.6055
628,0.9667,0.5262
629,0.9667,0.5819
630,0.9667,0.4961
631,0.9667,0.4103
632,0.9667,0.5338
633,0.9667,0.4388
634,0.9667,0.6669
635,0.9667,0.3802
636,0.9667,0.6220
637,0.9667,0.5649
638,0.9667,0.4548
639,0.9667,0.4918
640,0.9667,0.3771
641,0.9667,0.4369
642,0.9667,0.6269
643,0.9667,0.6557
644,0.9667,0.6044
645,0.9667,0.5484
646,0.9667,0.4620
647,0.9667,0.4606
648,0.9667,0.4139
649,0.9667,0.5643
650,0.9667,0.4275
651,0.9667,0.8760
652,0.9667,0.5405
653,0.9667,0.3951
654,0.9667,0.5259
655,0.9667,0.5367
656,0.9667,0.6008
657,0.9667,0.3791
658,0.9667,0.4769
659,0.9667,0.4785
660,0.9667,0.5774
661,0.9667,0.5146
662,0.9667,0.5511
663,0.9667,0.5112
664,0.9667,0.5318
665,0.9667,0.5156
666,0.9667,0.4737
667,0.9667,0.5820
