====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 83/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5357
Generación 84/2000 | Mejor Fitness: 0.9517 | Media Población: 0.3914
Generación 85/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4515
Generación 86/2000 | Mejor Fitness: 0.9517 | Media Población: 0.6423
Generación 87/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5582
Generación 88/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4320
Generación 89/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5889
Generación 90/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4628
Generación 91/2000 | Mejor Fitness: 0.9517 | Media Población: 0.6259
Generación 92/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4331
Generación 93/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5870
Generación 94/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4427
Generación 95/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4159
Generación 96/2000 | Mejor Fitness: 0.9517 | Media Población: 0.3689
Generación 97/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5073
Generación 98/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4537
Generación 99/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4975
Generación 100/2000 | Mejor Fitness: 0.9517 | Media Población: 0.4566
Generación 101/2000 | Mejor Fitness: 0.9517 | Media Población: 0.7533
Generación 102/2000 | Mejor Fitness: 0.9517 | Media Población: 0.6675
Generación 103/2000 | Mejor Fitness: 0.9517 | Media Población: 0.6379
Generación 104/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5212
Generación 105/2000 | Mejor Fitness: 0.9517 | Media Población: 0.7250
Generación 106/2000 | Mejor Fitness: 0.9517 | Media Población: 0.5248
Generación 107/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4773
Generación 108/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5721
Generación 109/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6026
Generación 110/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6535
Generación 111/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7547
Generación 112/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6692
Generación 113/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5892
Generación 114/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6564
Generación 115/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5415
Generación 116/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4561
Generación 117/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4156
Generación 118/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5554
Generación 119/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5062
Generación 120/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5766
Generación 121/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5784
Generación 122/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5395
Generación 123/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4329
Generación 124/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5799
Generación 125/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6284
Generación 126/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6583
Generación 127/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5545
Generación 128/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4983
Generación 129/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6495
Generación 130/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4252
Generación 131/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5319
Generación 132/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6762
Generación 133/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5873
Generación 134/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4913
Generación 135/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4205
Generación 136/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7317
Generación 137/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6413
Generación 138/2000 | Mejor Fitness: 0.9567 | Media Población: 0.3728
Generación 139/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5452
Generación 140/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5049
Generación 141/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6338
Generación 142/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4989
