====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelA.pkl
Generando dataset exploratorio para blackbox_modelA.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 83/1000 | Mejor Fitness: 0.8504 | Media Población: 0.3146
Generación 84/1000 | Mejor Fitness: 0.8504 | Media Población: 0.3420
Generación 85/1000 | Mejor Fitness: 0.8504 | Media Población: 0.3018
Generación 86/1000 | Mejor Fitness: 0.8504 | Media Población: 0.3359
Generación 87/1000 | Mejor Fitness: 0.8504 | Media Población: 0.3890
Generación 88/1000 | Mejor Fitness: 0.8504 | Media Población: 0.3838
Generación 89/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3274
Generación 90/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3045
Generación 91/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3206
Generación 92/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3502
Generación 93/1000 | Mejor Fitness: 0.8638 | Media Población: 0.4176
Generación 94/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3888
Generación 95/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3801
Generación 96/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3820
Generación 97/1000 | Mejor Fitness: 0.8638 | Media Población: 0.3917
Generación 98/1000 | Mejor Fitness: 0.8792 | Media Población: 0.3749
Generación 99/1000 | Mejor Fitness: 0.8792 | Media Población: 0.4197
Generación 100/1000 | Mejor Fitness: 0.8792 | Media Población: 0.3368
Generación 101/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3406
Generación 102/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3391
Generación 103/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4141
Generación 104/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3832
Generación 105/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4213
Generación 106/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3537
Generación 107/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3237
Generación 108/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3109
Generación 109/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3142
Generación 110/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3172
