Generación 87/2000 | Mejor Fitness: 0.6956 | Media Población: 0.5171
Generación 88/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4061
Generación 89/2000 | Mejor Fitness: 0.6956 | Media Población: 0.5032
Generación 90/2000 | Mejor Fitness: 0.6956 | Media Población: 0.5418
Generación 91/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4495
Generación 92/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3823
Generación 93/2000 | Mejor Fitness: 0.6956 | Media Población: 0.5428
Generación 94/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4597
Generación 95/2000 | Mejor Fitness: 0.6956 | Media Población: 0.2908
Generación 96/2000 | Mejor Fitness: 0.6956 | Media Población: 0.2909
Generación 97/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3112
Generación 98/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3095
Generación 99/2000 | Mejor Fitness: 0.7000 | Media Población: 0.2147
Generación 100/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3065
Generación 101/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3852
Generación 102/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4104
Generación 103/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4694
Generación 104/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4180
Generación 105/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3294
Generación 106/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3428
Generación 107/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3794
Generación 108/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4352
Generación 109/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3187
Generación 110/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3846
Generación 111/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3781
Generación 112/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3342
Generación 113/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4191
Generación 114/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4911
Generación 115/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4627
Generación 116/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3917
Generación 117/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4847
Generación 118/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4264
Generación 119/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3831
Generación 120/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3209
Generación 121/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4348
Generación 122/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4379
